sample time,delay time
0.000000000000000000e+00,1.719827137876207590e+09
5.000000000000000278e-02,1.719827137909217596e+09
1.000000000000000056e-01,1.719827137939206362e+09
1.500000000000000222e-01,1.719827137970252275e+09
2.000000000000000111e-01,1.719827138002330303e+09
2.500000000000000000e-01,1.719827138034355640e+09
3.000000000000000444e-01,1.719827138067450762e+09
3.500000000000000333e-01,1.719827138112578392e+09
4.000000000000000222e-01,1.719827138144567728e+09
4.500000000000000111e-01,1.719827138175810337e+09
5.000000000000000000e-01,1.719827138204812527e+09
5.500000000000000444e-01,1.719827138235840559e+09
6.000000000000000888e-01,1.719827138267839909e+09
6.500000000000000222e-01,1.719827138314187527e+09
7.000000000000000666e-01,1.719827138345617056e+09
7.500000000000000000e-01,1.719827138376617908e+09
8.000000000000000444e-01,1.719827138406794786e+09
8.500000000000000888e-01,1.719827138437777042e+09
9.000000000000000222e-01,1.719827138470825195e+09
9.500000000000000666e-01,1.719827138501839638e+09
1.000000000000000000e+00,1.719827138533883572e+09
1.050000000000000044e+00,1.719827138581255674e+09
1.100000000000000089e+00,1.719827138611449957e+09
1.150000000000000133e+00,1.719827138643456459e+09
1.200000000000000178e+00,1.719827138676473856e+09
1.250000000000000000e+00,1.719827138708493471e+09
1.300000000000000044e+00,1.719827138738795519e+09
1.350000000000000089e+00,1.719827138769810200e+09
1.400000000000000133e+00,1.719827138800809383e+09
1.450000000000000178e+00,1.719827138847841024e+09
1.500000000000000000e+00,1.719827138880840778e+09
1.550000000000000044e+00,1.719827138912882328e+09
1.600000000000000089e+00,1.719827138944593906e+09
1.650000000000000133e+00,1.719827138975816965e+09
1.700000000000000178e+00,1.719827139007395983e+09
1.750000000000000000e+00,1.719827139038336515e+09
1.800000000000000044e+00,1.719827139070390224e+09
1.850000000000000089e+00,1.719827139100424290e+09
1.900000000000000133e+00,1.719827139132434130e+09
1.950000000000000178e+00,1.719827139179052353e+09
2.000000000000000000e+00,1.719827139212092400e+09
2.050000000000000266e+00,1.719827139243103504e+09
2.100000000000000089e+00,1.719827139273224354e+09
