Time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
5.500000000000000444e-01,1.093804812126298806e-02,6.742381218531638513e-03,6.784033134537276188e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-5.374388319379802027e-03,4.093940872002735550e-03,7.416972770251189194e-04,5.746138279561743140e-03,5.745591741845444862e-03,-2.774625437197192259e-03,-6.009971939282723858e-05,0.000000000000000000e+00,-1.123118563494370989e-02,-4.543544179814922555e-03,-3.544228148035291018e-03,4.870155050914124623e-03,4.868438725350061370e-03,4.439650455128065290e-03,3.813725633506594365e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000888e-01,1.243695641810219597e-02,7.416783532444449351e-03,6.796747358391730387e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-6.617566649639200146e-03,4.527323505735124549e-03,-5.064031438461912482e-04,6.324486944232772523e-03,6.332150145089299881e-03,-2.231643656049487039e-03,-5.358915738790876116e-05,0.000000000000000000e+00,-1.218100998057188196e-02,-5.696028987456928407e-03,-3.263339222669115001e-03,6.412997859916974575e-03,6.415070765392842135e-03,4.881376263645305011e-03,6.090038162153409986e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,1.364197668197367902e-02,8.122775691864248665e-03,6.813075583653470657e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-8.568484605954711231e-03,4.555531497070205126e-03,-1.533114973291424153e-03,6.086380649774107525e-03,6.087342811037127141e-03,-1.565554845303295710e-03,-5.798263393996966623e-05,0.000000000000000000e+00,-1.310353481144565548e-02,-6.146761971236044432e-03,-2.438883716682716408e-03,7.588501830390164717e-03,7.589357079739916627e-03,6.010983254376029046e-03,5.979396449392901332e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,1.458203949410470657e-02,8.847461851577703359e-03,6.823713400559154874e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-9.870961378585981286e-03,4.473978707345778287e-03,-2.965422764446501002e-03,6.430246446626360600e-03,6.432054032911513342e-03,-1.296817112681740479e-03,-5.649930987110702045e-05,0.000000000000000000e+00,-1.390067509796277800e-02,-6.681858678758537812e-03,-2.262060521292202312e-03,8.734525715776375598e-03,8.730867338050176188e-03,6.634334453930411900e-03,7.288294423898112370e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-01,1.456022498463746019e-02,9.031518631677276990e-03,6.822471512375569702e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-9.871989904209524380e-03,4.533818812385085641e-03,-3.104299335784703896e-03,6.404588638631665901e-03,6.405082822467453828e-03,-1.225982751355011221e-03,-4.981236000736882232e-05,0.000000000000000000e+00,-1.391144485538761688e-02,-6.737114251372987306e-03,-2.176758254895523083e-03,8.736650936348297827e-03,8.736887127393800842e-03,6.699189752761030084e-03,7.208622298241996399e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,1.563227341045103636e-02,1.029106994589746443e-02,6.831602812672332714e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-1.179877265923160237e-02,4.705760184682166065e-03,-4.450437468076474945e-03,7.258409146208896941e-03,7.256144037039290000e-03,5.043116194056461487e-04,-4.595717710625794351e-05,0.000000000000000000e+00,-1.546624041652969357e-02,-6.674957885525754746e-03,-1.105691876100708699e-03,9.567818660483956225e-03,9.567900413436244283e-03,7.779786222765696854e-03,7.290141362689892533e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.605722178947782339e-02,1.085504436103902105e-02,6.830446403467259620e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-1.193382906828983382e-02,4.702772982872057209e-03,-4.950784103166534951e-03,7.762668697839365632e-03,7.767353850247150741e-03,1.490869595219528748e-04,-3.397044096500902968e-05,0.000000000000000000e+00,-1.624622760518161166e-02,-6.710286174691799423e-03,-1.493138903071375249e-03,1.012560521035853200e-02,1.012477382533854414e-02,8.272683416135467524e-03,7.879161695433406802e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000001332e-01,1.659558852698819406e-02,1.113139415232524895e-02,6.832889368140857567e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-1.233168061446788741e-02,5.081730426183082329e-03,-6.146219164110177345e-03,8.145244416035590795e-03,8.148238596584372537e-03,3.985379815636425635e-04,-3.529687373923888754e-05,0.000000000000000000e+00,-1.670889011168172691e-02,-6.960443120536612127e-03,-1.311437856565048857e-03,1.088119335436236318e-02,1.087788837398016677e-02,9.063209461878428755e-03,7.497321996320760310e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000666e-01,1.708218481128304794e-02,1.166465285509657099e-02,6.834179181120477731e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-1.207888373633185346e-02,5.040701176415213029e-03,-6.403611882036213190e-03,8.792959448877760847e-03,8.793903817514424695e-03,2.455760756498428029e-05,-4.292783916146507880e-05,0.000000000000000000e+00,-1.759444585724594112e-02,-6.983911925402995317e-03,-1.087337643314228129e-03,1.127707218203139079e-02,1.127815346062387494e-02,9.783809652840272375e-03,7.132460939696858005e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.673345247370029362e-02,1.230345416007502801e-02,6.849177737704289504e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-1.282305548971190458e-02,4.029944689095679537e-03,-8.374636702879223113e-03,9.321229644669786624e-03,9.318805778593832953e-03,1.862184655578668626e-03,-3.246976369574030392e-05,0.000000000000000000e+00,-1.716608410433953513e-02,-6.996341692065814050e-03,1.241922505923168281e-04,1.258351983404482760e-02,1.258481131407081753e-02,1.038179184636729528e-02,7.997709641379361224e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
