SensorIndex_1,AccelX_1,AccelY_1,AccelZ_1,GyroX_1,GyroY_1,GyroZ_1,MagX_1,MagY_1,MagZ_1,Quat1_1,Quat2_1,Quat3_1,Quat4_1,Sampletime_1,Package_1,SensorIndex_2,AccelX_2,AccelY_2,AccelZ_2,GyroX_2,GyroY_2,GyroZ_2,MagX_2,MagY_2,MagZ_2,Quat1_2,Quat2_2,Quat3_2,Quat4_2,Sampletime_2,Package_2
0,-0.09000000357627869,9.229999542236328,-0.2199999988079071,1.1875,0.4375,0.75,8.875,-39.5,-19.875,-0.6949415802955627,-0.702265739440918,-0.12390052527189255,-0.09234556555747986,55629,15,1,-0.5,9.529999732971191,-1.9700000286102295,6.875,6.5625,-3.6875,6.75,-39.875,-13.6875,-0.5344811081886292,-0.6683302521705627,0.3815891146659851,0.3493627905845642,1248,15
0,-0.3499999940395355,9.199999809265137,-0.28999999165534973,1.3125,2.5,0.875,8.875,-39.5,-19.875,-0.6948215365409851,-0.7023898363113403,-0.1237788200378418,-0.09246790409088135,55639,16,1,-0.5400000214576721,9.5600004196167,-1.9800000190734863,8.125,6.0625,-3.75,6.75,-39.875,-13.6875,-0.5341764688491821,-0.6690022945404053,0.38128432631492615,0.3488748371601105,1259,16
0,-0.41999998688697815,9.1899995803833,-0.3199999928474426,0.9375,3.0625,0.75,8.875,-39.5,-19.875,-0.6946817636489868,-0.7024940848350525,-0.1238367035984993,-0.09264865517616272,55649,17,1,-0.6100000143051147,9.569999694824219,-2.069999933242798,8.4375,6.5625,-4.0625,6.75,-39.875,-13.6875,-0.5337479114532471,-0.6696720123291016,0.38110026717185974,0.34844672679901123,1269,17
0,-0.4300000071525574,9.1899995803833,-0.2800000011920929,0.8125,1.9375,0.5625,8.875,-39.5,-19.875,-0.6945573687553406,-0.7025526762008667,-0.12401937693357468,-0.09289246797561646,55659,18,1,-0.6000000238418579,9.619999885559082,-2.059999942779541,7.875,7.5625,-4.375,6.75,-39.875,-13.6875,-0.5333113670349121,-0.6704537868499756,0.3807884454727173,0.34795239567756653,1280,18
0,-0.3799999952316284,9.239999771118164,-0.23000000417232513,0.625,0,0.75,8.875,-39.5,-19.875,-0.6944757699966431,-0.7025936245918274,-0.12414868175983429,-0.09301995486021042,55669,19,1,-0.5699999928474426,9.699999809265137,-2.009999990463257,7.6875,8.25,-4.5,6.75,-39.875,-13.6875,-0.5329510569572449,-0.6711935997009277,0.38048750162124634,0.34740692377090454,1288,19
0,-0.3499999940395355,9.260000228881836,-0.12999999523162842,0.8125,-0.8125,1,10.375,-39.875,-19.0625,-0.6944196224212646,-0.7026596665382385,-0.12408851832151413,-0.09302061051130295,55679,20,1,-0.5400000214576721,9.720000267028809,-2.059999942779541,8.0625,8.6875,-4.375,6.0625,-31.0625,-12.25,-0.5326473116874695,-0.6719278693199158,0.3800612986087799,0.34691959619522095,1298,20
0,-0.30000001192092896,9.220000267028809,-0.1599999964237213,0.625,-0.75,0.875,10.375,-39.875,-19.0625,-0.6944003701210022,-0.702701210975647,-0.12396300584077835,-0.09301803261041641,55689,21,1,-0.49000000953674316,9.75,-2.0399999618530273,8.25,9.5,-4.1875,6.0625,-31.0625,-12.25,-0.5323313474655151,-0.6727076768875122,0.3796873688697815,0.34630224108695984,1309,21
0,-0.30000001192092896,9.210000038146973,-0.25,0.1875,-0.5,0.8125,10.375,-39.875,-19.0625,-0.6943442225456238,-0.7027671933174133,-0.12390284240245819,-0.09301868826150894,55699,22,1,-0.5,9.779999732971191,-2.0899999141693115,7.625,10.25,-4,6.0625,-31.0625,-12.25,-0.5320270657539368,-0.6735022068023682,0.379260778427124,0.3456924557685852,1319,22
0,-0.3400000035762787,9.220000267028809,-0.25,0.125,0.1875,0.625,10.375,-39.875,-19.0625,-0.6943157315254211,-0.702799379825592,-0.12383673340082169,-0.09307590872049332,55709,23,1,-0.5400000214576721,9.739999771118164,-1.9800000190734863,6.875,10.5,-4,6.0625,-31.0625,-12.25,-0.5317989587783813,-0.6742548942565918,0.3788449466228485,0.3450314998626709,1330,23
0,-0.2800000011920929,9.220000267028809,-0.10999999940395355,-0.0625,0.625,0.5,10.375,-39.875,-19.0625,-0.6943170428276062,-0.7028006911277771,-0.12377592921257019,-0.09313711524009705,55719,24,1,-0.5600000023841858,9.729999542236328,-1.940000057220459,6.375,9.9375,-4.1875,6.0625,-31.0625,-12.25,-0.5316262245178223,-0.6750004887580872,0.37836405634880066,0.3443668484687805,1338,24
0,-0.23000000417232513,9.220000267028809,-0.05999999865889549,-0.1875,0.5625,0.5,8.875,-39.0625,-20.6875,-0.6942762136459351,-0.7028211951255798,-0.1238405704498291,-0.09320086240768433,55729,25,1,-0.6299999952316284,9.729999542236328,-1.909999966621399,6.25,9.8125,-4.1875,7.0625,-40.25,-12.5625,-0.5314416885375977,-0.6757311224937439,0.3778747618198395,0.3437555432319641,1348,25
0,-0.1599999964237213,9.229999542236328,-0.019999999552965164,-0.6875,1,0.5,8.875,-39.0625,-20.6875,-0.6942762136459351,-0.7028211951255798,-0.1238405704498291,-0.09320086240768433,55739,26,1,-0.5899999737739563,9.649999618530273,-2.009999990463257,6.875,10,-4.75,7.0625,-40.25,-12.5625,-0.5313014388084412,-0.676440417766571,0.3773125112056732,0.34319448471069336,1359,26
0,-0.12999999523162842,9.220000267028809,-0.05999999865889549,-0.75,1.8125,0.25,8.875,-39.0625,-20.6875,-0.6943297386169434,-0.7027525305747986,-0.12383922189474106,-0.09332191944122314,55749,27,1,-0.5099999904632568,9.65999984741211,-2.0799999237060547,8.25,10,-4.8125,7.0625,-40.25,-12.5625,-0.5310718417167664,-0.6771913170814514,0.37683454155921936,0.3425935208797455,1369,27
0,-0.23999999463558197,9.239999771118164,0.03999999910593033,-0.625,2.5625,-0.0625,8.875,-39.0625,-20.6875,-0.6944077610969543,-0.7026476263999939,-0.123903289437294,-0.0934462696313858,55759,28,1,-0.4699999988079071,9.789999961853027,-2.0199999809265137,8.375,9.625,-4.625,7.0625,-40.25,-12.5625,-0.530775785446167,-0.6779964566230774,0.3763527274131775,0.34198904037475586,1380,28
0,-0.2799999937415123,9.224999904632568,0.054999999701976776,-0.5,2.25,-0.125,8.875,-39.0625,-20.6875,-0.6944479942321777,-0.7025655508041382,-0.12396061420440674,-0.09368761628866196,55769,29,1,-0.4699999988079071,9.829999923706055,-2.0199999809265137,7.375,9.3125,-4.375,7.0625,-40.25,-12.5625,-0.530510663986206,-0.6787631511688232,0.3759106397628784,0.34136518836021423,1388,29
0,-0.3199999928474426,9.210000038146973,0.07000000029802322,-0.4375,1.5625,-0.25,8.875,-39.875,-20.25,-0.6944553256034851,-0.7025119662284851,-0.1240839958190918,-0.09387171268463135,55779,30,1,-0.5199999809265137,9.8100004196167,-1.940000057220459,6.5,9.0625,-4.125,7.875,-39.875,-12.5625,-0.5302669405937195,-0.6794960498809814,0.3754836916923523,0.3407551050186157,1398,30
0,-0.3499999940395355,9.229999542236328,0.05000000074505806,-0.25,0.5625,-0.3125,8.875,-39.875,-20.25,-0.6945034861564636,-0.7024378776550293,-0.12414272874593735,-0.09399203956127167,55789,31,1,-0.5299999713897705,9.8100004196167,-1.9299999475479126,6.25,8.5,-3.875,7.875,-39.875,-12.5625,-0.5300896167755127,-0.6801748871803284,0.3749994933605194,0.3402095139026642,1409,31
0,-0.2199999988079071,9.199999809265137,0.07999999821186066,0.4375,-0.375,-0.3125,8.875,-39.875,-20.25,-0.6945701241493225,-0.702382504940033,-0.12408269196748734,-0.09399279206991196,55799,32,1,-0.5299999713897705,9.829999923706055,-2.009999990463257,6,7.875,-3.1875,7.875,-39.875,-12.5625,-0.5299095511436462,-0.6807891130447388,0.3746354281902313,0.3396621346473694,1419,32
0,-0.20999999344348907,9.229999542236328,0.10999999940395355,0.4375,-0.3125,-0.3125,8.875,-39.875,-20.25,-0.6946625113487244,-0.7022921442985535,-0.12402725964784622,-0.0940580740571022,55809,33,1,-0.5400000214576721,9.8100004196167,-1.8799999952316284,5.625,7.0625,-3.0625,7.875,-39.875,-12.5625,-0.5297839641571045,-0.6813339591026306,0.37426674365997314,0.3391716182231903,1430,33
0,-0.25,9.220000267028809,0.10999999940395355,0.625,0.125,-0.5,8.875,-39.875,-20.25,-0.6947567462921143,-0.7022029757499695,-0.12396125495433807,-0.09411533921957016,55819,34,1,-0.5400000214576721,9.789999961853027,-1.8700000047683716,5.6875,6.8125,-2.625,7.875,-39.875,-12.5625,-0.5296691656112671,-0.6818315386772156,0.37390565872192383,0.3387489914894104,1438,34
0,-0.3100000023841858,9.229999542236328,0.07999999821186066,0.875,1.1875,-0.625,8.5,-38.375,-18.1875,-0.6948193311691284,-0.7021434903144836,-0.12390049546957016,-0.09417658299207687,55829,35,1,-0.6299999952316284,9.800000190734863,-1.8200000524520874,5.4375,6.375,-2.375,8.0625,-38.0625,-11.75,-0.5295419692993164,-0.6823132038116455,0.37359684705734253,0.33831846714019775,1448,35
0,-0.3799999952316284,9.220000267028809,0.029999999329447746,1.125,1.3125,-0.625,8.5,-38.375,-18.1875,-0.6948398947715759,-0.7021031975746155,-0.12396519631147385,-0.09424040466547012,55839,36,1,-0.6899999976158142,9.809999942779541,-1.9050000309944153,4.625,6,-2.25,8.0625,-38.0625,-11.75,-0.5294365286827087,-0.6827619075775146,0.3733034133911133,0.33790186047554016,1459,36
0,-0.33000001311302185,9.210000038146973,-0.029999999329447746,1.5625,0.375,-0.5625,8.5,-38.375,-18.1875,-0.6948253512382507,-0.7020885348320007,-0.12408467382192612,-0.09429947286844254,55849,37,1,-0.75,9.819999694824219,-1.9900000095367432,3.9375,5.5625,-2.3125,8.0625,-38.0625,-11.75,-0.5293518304824829,-0.6831586360931396,0.37304258346557617,0.3375205397605896,1469,37
0,-0.27000001072883606,9.1899995803833,0,1.5625,-0.6875,-0.5,8.5,-38.375,-18.1875,-0.6947956085205078,-0.7021194696426392,-0.12407936155796051,-0.0942954272031784,55859,38,1,-0.6700000166893005,9.770000457763672,-1.9199999570846558,3.4375,4.6875,-2.125,8.0625,-38.0625,-11.75,-0.5292901396751404,-0.6835240721702576,0.37273699045181274,0.33721497654914856,1480,38
0,-0.20000000298023224,9.210000038146973,0.03999999910593033,1.8125,-0.5625,-0.625,8.5,-38.375,-18.1875,-0.6947692632675171,-0.7021545767784119,-0.12402452528476715,-0.09430014342069626,55869,39,1,-0.6299999952316284,9.729999542236328,-1.9199999570846558,3.6875,3.8125,-1.875,8.0625,-38.0625,-11.75,-0.5292395353317261,-0.683842658996582,0.37243911623954773,0.33697745203971863,1488,39
0,-0.14000000059604645,9.220000267028809,0.03999999910593033,1.6875,0.0625,-0.75,10.375,-40.1875,-19,-0.6947119235992432,-0.7022193670272827,-0.12402518093585968,-0.09423960745334625,55879,40,1,-0.5699999928474426,9.739999771118164,-1.9800000190734863,4.1875,2.625,-1.6875,8.5625,-40.6875,-12.5625,-0.5291208028793335,-0.6841521263122559,0.37225836515426636,0.33673542737960815,1498,40
0,-0.1899999976158142,9.220000267028809,0,1.875,1.75,-0.8125,10.375,-40.1875,-19,-0.6946505308151245,-0.7022800445556641,-0.1240251213312149,-0.09423956274986267,55889,41,1,-0.5299999713897705,9.760000228881836,-2.109999895095825,3.875,2.125,-1.375,8.5625,-40.6875,-12.5625,-0.5289230942726135,-0.6844384074211121,0.3721870481967926,0.3365430235862732,1509,41
0,-0.25,9.229999542236328,-0.14000000059604645,1.75,3,-0.9375,10.375,-40.1875,-19,-0.6946004629135132,-0.7022911310195923,-0.1241491511464119,-0.09436312317848206,55899,42,1,-0.550000011920929,9.739999771118164,-2.049999952316284,3,2.4375,-1.3125,8.5625,-40.6875,-12.5625,-0.5287582278251648,-0.6847062110900879,0.3721388578414917,0.3363105058670044,1519,42
0,-0.3499999940395355,9.220000267028809,-0.15000000596046448,2.125,3.75,-0.875,10.375,-40.1875,-19,-0.6945112943649292,-0.7023236751556396,-0.12432722002267838,-0.09454239904880524,55909,43,1,-0.6100000143051147,9.755000114440918,-2.0149999856948853,2.4375,2.9375,-1.1875,8.5625,-40.6875,-12.5625,-0.5286824703216553,-0.684931218624115,0.3720064163208008,0.33611801266670227,1529,43
0,-0.38999998569488525,9.210000038146973,-0.15000000596046448,2.0625,3.25,-0.8125,10.375,-40.1875,-19,-0.6943225264549255,-0.7024400234222412,-0.1246313825249672,-0.09466370195150375,55919,44,1,-0.6700000166893005,9.770000457763672,-1.9800000190734863,1.75,2.75,-1.3125,8.5625,-40.6875,-12.5625,-0.5286287069320679,-0.6851237416267395,0.3718894422054291,0.33593952655792236,1538,44
0,-0.3700000047683716,9.199999809265137,-0.18000000715255737,2.25,2.0625,-1,9.25,-39.875,-19.875,-0.694200336933136,-0.7025009989738464,-0.1248755007982254,-0.09478574991226196,55929,45,1,-0.6800000071525574,9.720000267028809,-2.049999952316284,1.25,2.25,-1.4375,9.5625,-40.25,-11.375,-0.5285640358924866,-0.685302197933197,0.3717648386955261,0.3358151614665985,1548,45
